From	Entry	Entry Name	Gene Names
9606.ENSP00000161006	Q9GZN4	BSSP4_HUMAN	PRSS22 BSSP4 PRSS26 SP001LA UNQ302/PRO343
9606.ENSP00000162749	P19438	TNR1A_HUMAN	TNFRSF1A TNFAR TNFR1
9606.ENSP00000164139	P11217	PYGM_HUMAN	PYGM
9606.ENSP00000164640	Q76G19	PDZD4_HUMAN	PDZD4 KIAA1444 PDZK4 PDZRN4L
9606.ENSP00000166244	P29322	EPHA8_HUMAN	EPHA8 EEK HEK3 KIAA1459
9606.ENSP00000171111	Q14145	KEAP1_HUMAN	KEAP1 INRF2 KIAA0132 KLHL19
9606.ENSP00000171887	Q9HBL0	TENS1_HUMAN	TNS1 TNS
9606.ENSP00000173229	O95631	NET1_HUMAN	NTN1 NTN1L
9606.ENSP00000175238	Q9H2U9	ADAM7_HUMAN	ADAM7 GP83
9606.ENSP00000176183	P21917	DRD4_HUMAN	DRD4
9606.ENSP00000177694	Q9UL17	TBX21_HUMAN	TBX21 TBET TBLYM
9606.ENSP00000180166	Q9NP95	FGF20_HUMAN	FGF20
9606.ENSP00000181796	Q9H098	F107B_HUMAN	FAM107B C10orf45
9606.ENSP00000184266	O95168	NDUB4_HUMAN	NDUFB4
9606.ENSP00000190165	Q9NQL9	DMRT3_HUMAN	DMRT3 DMRTA3
9606.ENSP00000192788	Q6BDS2	BLT3A_HUMAN	BLTP3A C6orf107 UHRF1BP1
9606.ENSP00000193322	Q86WC4	OSTM1_HUMAN	OSTM1 GL HSPC019 UNQ6098/PRO21201
9606.ENSP00000199280	P41181	AQP2_HUMAN	AQP2
9606.ENSP00000199448	Q9UM22	EPDR1_HUMAN	EPDR1 MERP1 UCC1
9606.ENSP00000199764	P40199	CEAM6_HUMAN	CEACAM6 NCA
9606.ENSP00000199814	Q9NW64	RBM22_HUMAN	RBM22 ZC3H16 199G4
9606.ENSP00000200135	O43264	ZW10_HUMAN	ZW10
9606.ENSP00000200457	Q15654	TRIP6_HUMAN	TRIP6 OIP1
9606.ENSP00000201031	Q92754	AP2C_HUMAN	TFAP2C
9606.ENSP00000201586	O00204	ST2B1_HUMAN	SULT2B1 HSST2
9606.ENSP00000201647	Q8TE68	ES8L1_HUMAN	EPS8L1 DRC3 EPS8R1 PP10566
9606.ENSP00000202017	Q9NUG6	PDRG1_HUMAN	PDRG1 C20orf126 PDRG
9606.ENSP00000202556	Q96KQ4	ASPP1_HUMAN	PPP1R13B ASPP1 KIAA0771
9606.ENSP00000202677	Q2PPJ7	RGPA2_HUMAN	RALGAPA2 C20orf74 KIAA1272
9606.ENSP00000202967	Q9Y6E7	SIR4_HUMAN	SIRT4 SIR2L4
9606.ENSP00000203407	P31930	QCR1_HUMAN	UQCRC1
9606.ENSP00000203629	P18627	LAG3_HUMAN	LAG3 FDC
9606.ENSP00000204566	Q9NZD8	SPG21_HUMAN	SPG21 ACP33 BM-019 GL010
9606.ENSP00000205402	P09622	DLDH_HUMAN	DLD GCSL LAD PHE3
9606.ENSP00000205557	O95255	MRP6_HUMAN	ABCC6 ARA MRP6
9606.ENSP00000205636	Q9NX76	CKLF6_HUMAN	CMTM6 CKLFSF6
9606.ENSP00000205890	Q9UKN7	MYO15_HUMAN	MYO15A MYO15
9606.ENSP00000206542	Q9NPF4	OSGEP_HUMAN	OSGEP GCPL1
9606.ENSP00000206595	Q7L622	G2E3_HUMAN	G2E3 KIAA1333
9606.ENSP00000209728	Q99741	CDC6_HUMAN	CDC6 CDC18L
9606.ENSP00000210060	P49366	DHYS_HUMAN	DHPS DS
9606.ENSP00000211287	O15264	MK13_HUMAN	MAPK13 PRKM13 SAPK4
9606.ENSP00000211998	P18206	VINC_HUMAN	VCL
9606.ENSP00000212355	Q03167	TGBR3_HUMAN	TGFBR3
9606.ENSP00000215061	Q9H607	OCEL1_HUMAN	OCEL1
9606.ENSP00000215095	P61266	STX1B_HUMAN	STX1B STX1B1 STX1B2
9606.ENSP00000215375	P30049	ATPD_HUMAN	ATP5F1D ATP5D
9606.ENSP00000215531	O75264	SIM24_HUMAN	SMIM24 C19orf77 HSPC323
9606.ENSP00000215565	P17568	NDUB7_HUMAN	NDUFB7
9606.ENSP00000215567	Q9NZ01	TECR_HUMAN	TECR GPSN2 SC2
9606.ENSP00000215570	Q9Y5L4	TIM13_HUMAN	TIMM13 TIM13B TIMM13A TIMM13B
9606.ENSP00000215659	P53778	MK12_HUMAN	MAPK12 ERK6 SAPK3
9606.ENSP00000215730	O95721	SNP29_HUMAN	SNAP29
9606.ENSP00000215793	Q15459	SF3A1_HUMAN	SF3A1 SAP114
9606.ENSP00000215829	P62318	SMD3_HUMAN	SNRPD3
9606.ENSP00000215832	P28482	MK01_HUMAN	MAPK1 ERK2 PRKM1 PRKM2
9606.ENSP00000215885	Q9NZ20	PA2G3_HUMAN	PLA2G3
9606.ENSP00000215909	P09382	LEG1_HUMAN	LGALS1
9606.ENSP00000215980	Q9NSP4	CENPM_HUMAN	CENPM C22orf18 ICEN39 PANE1
9606.ENSP00000216027	Q8IWL3	HSC20_HUMAN	HSCB DNAJC20 HSC20
9606.ENSP00000216034	Q9NS69	TOM22_HUMAN	TOMM22 TOM22
9606.ENSP00000216037	P17861	XBP1_HUMAN	XBP1 TREB5 XBP2
9606.ENSP00000216038	Q9Y3I0	RTCB_HUMAN	RTCB C22orf28 HSPC117
9606.ENSP00000216039	Q15040	JOS1_HUMAN	JOSD1 JSPH1 KIAA0063
9606.ENSP00000216115	Q13323	BIK_HUMAN	BIK NBK
9606.ENSP00000216117	P09601	HMOX1_HUMAN	HMOX1 HO HO1
9606.ENSP00000216122	P33992	MCM5_HUMAN	MCM5 CDC46
9606.ENSP00000216144	Q86V35	CABP7_HUMAN	CABP7 CALN2
9606.ENSP00000216160	Q15750	TAB1_HUMAN	TAB1 MAP3K7IP1
9606.ENSP00000216181	P35579	MYH9_HUMAN	MYH9
9606.ENSP00000216185	Q99757	THIOM_HUMAN	TXN2 TRX2
9606.ENSP00000216190	O15371	EIF3D_HUMAN	EIF3D EIF3S7
9606.ENSP00000216218	P50502	F10A1_HUMAN	ST13 AAG2 FAM10A1 HIP SNC6
9606.ENSP00000216223	P14784	IL2RB_HUMAN	IL2RB IL15RB
9606.ENSP00000216254	Q99798	ACON_HUMAN	ACO2
9606.ENSP00000216267	O95696	BRD1_HUMAN	BRD1 BRL BRPF2
9606.ENSP00000216277	P51003	PAPOA_HUMAN	PAPOLA PAP
9606.ENSP00000216286	Q14112	NID2_HUMAN	NID2
9606.ENSP00000216338	P20718	GRAH_HUMAN	GZMH CGL2 CTSGL2
9606.ENSP00000216341	P10144	GRAB_HUMAN	GZMB CGL1 CSPB CTLA1 GRB
9606.ENSP00000216442	Q9Y5K8	VATD_HUMAN	ATP6V1D ATP6M VATD
9606.ENSP00000216455	P25788	PSA3_HUMAN	PSMA3 HC8 PSC8
9606.ENSP00000216465	O43708	MAAI_HUMAN	GSTZ1 MAAI
9606.ENSP00000216487	Q8TB24	RIN3_HUMAN	RIN3
9606.ENSP00000216492	P10645	CMGA_HUMAN	CHGA
9606.ENSP00000216540	Q14973	NTCP_HUMAN	SLC10A1 NTCP GIG29
9606.ENSP00000216554	P55010	IF5_HUMAN	EIF5
9606.ENSP00000216605	P11586	C1TC_HUMAN	MTHFD1 MTHFC MTHFD
9606.ENSP00000216639	Q99986	VRK1_HUMAN	VRK1
9606.ENSP00000216727	Q86U42	PABP2_HUMAN	PABPN1 PAB2 PABP2
9606.ENSP00000216733	O43281	EFS_HUMAN	EFS CASS3
9606.ENSP00000216780	Q16822	PCKGM_HUMAN	PCK2 PEPCK2
9606.ENSP00000216802	Q9UL46	PSME2_HUMAN	PSME2
9606.ENSP00000216807	Q5PSV4	BRM1L_HUMAN	BRMS1L
9606.ENSP00000216832	Q9H307	PININ_HUMAN	PNN DRS MEMA
9606.ENSP00000216923	Q9NTW7	ZF64B_HUMAN	ZFP64 ZNF338
9606.ENSP00000216962	P11216	PYGB_HUMAN	PYGB
9606.ENSP00000217121	O43399	TPD54_HUMAN	TPD52L2
9606.ENSP00000217131	Q9UBR2	CATZ_HUMAN	CTSZ
9606.ENSP00000217159	Q96BD0	SO4A1_HUMAN	SLCO4A1 OATP1 OATP4A1 OATPE SLC21A12
9606.ENSP00000217182	Q05639	EF1A2_HUMAN	EEF1A2 EEF1AL STN
9606.ENSP00000217195	Q9GZN8	ADSSP_HUMAN	ADISSP C20orf27
9606.ENSP00000217233	Q96RU7	TRIB3_HUMAN	TRIB3 C20orf97 NIPK SKIP3 TRB3
9606.ENSP00000217244	P68400	CSK21_HUMAN	CSNK2A1 CK2A1
9606.ENSP00000217289	Q9BQL6	FERM1_HUMAN	FERMT1 C20orf42 KIND1 URP1
9606.ENSP00000217372	Q96SZ6	CK5P1_HUMAN	CDK5RAP1 C20orf34 CGI-05 HSPC167
9606.ENSP00000217381	Q13424	SNTA1_HUMAN	SNTA1 SNT1
9606.ENSP00000217420	Q9H598	VIAAT_HUMAN	SLC32A1 VGAT VIAAT
9606.ENSP00000217423	P01036	CYTS_HUMAN	CST4
9606.ENSP00000217426	P23526	SAHH_HUMAN	AHCY SAHH
9606.ENSP00000217456	Q9HDC9	APMAP_HUMAN	APMAP C20orf3 UNQ1869/PRO4305
9606.ENSP00000217515	O43396	TXNL1_HUMAN	TXNL1 TRP32 TXL TXNL
9606.ENSP00000217901	P51553	IDH3G_HUMAN	IDH3G
9606.ENSP00000217958	O75832	PSD10_HUMAN	PSMD10
9606.ENSP00000217971	O00264	PGRC1_HUMAN	PGRMC1 HPR6.6 PGRMC
9606.ENSP00000218230	Q9UHG2	PCS1N_HUMAN	PCSK1N
9606.ENSP00000218348	P51784	UBP11_HUMAN	USP11 UHX1
9606.ENSP00000218388	P01033	TIMP1_HUMAN	TIMP1 CLGI TIMP
9606.ENSP00000219022	Q6UX06	OLFM4_HUMAN	OLFM4 GW112 UNQ362/PRO698
9606.ENSP00000219070	P08253	MMP2_HUMAN	MMP2 CLG4A
9606.ENSP00000219097	Q9Y5N6	ORC6_HUMAN	ORC6 ORC6L
9606.ENSP00000219150	P31146	COR1A_HUMAN	CORO1A CORO1
9606.ENSP00000219169	P61970	NTF2_HUMAN	NUTF2 NTF2
9606.ENSP00000219197	P23435	CBLN1_HUMAN	CBLN1
9606.ENSP00000219235	O00626	CCL22_HUMAN	CCL22 MDC SCYA22 A-152E5.1
9606.ENSP00000219252	P19387	RPB3_HUMAN	POLR2C A-152E5.7
9606.ENSP00000219255	Q9NPB6	PAR6A_HUMAN	PARD6A PAR6A
9606.ENSP00000219299	Q9H0I3	CC113_HUMAN	CCDC113 HSPC065
9606.ENSP00000219302	Q13232	NDK3_HUMAN	NME3
9606.ENSP00000219400	Q9NRP2	COXM2_HUMAN	CMC2 C16orf61 DC13
9606.ENSP00000219476	P49815	TSC2_HUMAN	TSC2 TSC4
9606.ENSP00000219478	O60304	ZN500_HUMAN	ZNF500 KIAA0557 ZKSCAN18
9606.ENSP00000219548	Q9UNE7	CHIP_HUMAN	STUB1 CHIP PP1131
9606.ENSP00000219789	O14735	CDIPT_HUMAN	CDIPT PIS PIS1
9606.ENSP00000220325	Q9H223	EHD4_HUMAN	EHD4 HCA10 HCA11 PAST4 FKSG7
9606.ENSP00000220496	Q9NVM6	DJC17_HUMAN	DNAJC17
9606.ENSP00000220509	Q9P253	VPS18_HUMAN	VPS18 KIAA1475
9606.ENSP00000220592	Q9UKV8	AGO2_HUMAN	AGO2 EIF2C2
9606.ENSP00000220597	Q9NWQ8	PHAG1_HUMAN	PAG1 CBP PAG
9606.ENSP00000220751	O43353	RIPK2_HUMAN	RIPK2 CARDIAK RICK RIP2 UNQ277/PRO314/PRO34092
9606.ENSP00000220763	Q9Y646	CBPQ_HUMAN	CPQ LCH1 PGCP
9606.ENSP00000220764	Q16698	DECR_HUMAN	DECR1 DECR SDR18C1
9606.ENSP00000220772	Q8N474	SFRP1_HUMAN	SFRP1 FRP FRP1 SARP2
9606.ENSP00000220809	P00750	TPA_HUMAN	PLAT
9606.ENSP00000220849	P60228	EIF3E_HUMAN	EIF3E EIF3S6 INT6
9606.ENSP00000221086	Q96QG7	MTMR9_HUMAN	MTMR9 C8orf9 MTMR8
9606.ENSP00000221130	P00390	GSHR_HUMAN	GSR GLUR GRD1
9606.ENSP00000221138	P62714	PP2AB_HUMAN	PPP2CB
9606.ENSP00000221166	P07197	NFM_HUMAN	NEFM NEF3 NFM
9606.ENSP00000221418	Q13011	ECH1_HUMAN	ECH1
9606.ENSP00000221419	P14866	HNRPL_HUMAN	HNRNPL HNRPL P/OKcl.14
9606.ENSP00000221455	Q8N2M8	CLASR_HUMAN	CLASRP SFRS16 SWAP2 UNQ2428/PRO4988
9606.ENSP00000221485	Q9P2U7	VGLU1_HUMAN	SLC17A7 BNPI VGLUT1
9606.ENSP00000221494	Q15428	SF3A2_HUMAN	SF3A2 SAP62
9606.ENSP00000221515	Q9HD89	RETN_HUMAN	RETN FIZZ3 HXCP1 RSTN UNQ407/PRO1199
9606.ENSP00000221573	Q13487	SNPC2_HUMAN	SNAPC2 SNAP45
9606.ENSP00000221801	P22087	FBRL_HUMAN	FBL FIB1 FLRN
9606.ENSP00000221957	O60664	PLIN3_HUMAN	PLIN3 M6PRBP1 TIP47
9606.ENSP00000221972	P11912	CD79A_HUMAN	CD79A IGA MB1
9606.ENSP00000221978	Q16617	NKG7_HUMAN	NKG7 GIG1
9606.ENSP00000222005	Q16543	CDC37_HUMAN	CDC37 CDC37A
9606.ENSP00000222120	O95716	RAB3D_HUMAN	RAB3D GOV RAB16
9606.ENSP00000222247	Q02543	RL18A_HUMAN	RPL18A
9606.ENSP00000222254	O00459	P85B_HUMAN	PIK3R2
9606.ENSP00000222271	P49747	COMP_HUMAN	COMP
9606.ENSP00000222388	Q9UG63	ABCF2_HUMAN	ABCF2 HUSSY-18
9606.ENSP00000222399	P07942	LAMB1_HUMAN	LAMB1
9606.ENSP00000222402	Q9Y2X8	UB2D4_HUMAN	UBE2D4 UBCH5D
9606.ENSP00000222462	Q9UBV4	WNT16_HUMAN	WNT16
9606.ENSP00000222547	O15155	BET1_HUMAN	BET1
9606.ENSP00000222553	P43490	NAMPT_HUMAN	NAMPT PBEF PBEF1
9606.ENSP00000222572	Q15165	PON2_HUMAN	PON2
9606.ENSP00000222584	Q02446	SP4_HUMAN	SP4
9606.ENSP00000222673	Q02218	ODO1_HUMAN	OGDH
9606.ENSP00000222990	Q9Y5X2	SNX8_HUMAN	SNX8
9606.ENSP00000223023	O00401	WASL_HUMAN	WASL
9606.ENSP00000223029	Q13155	AIMP2_HUMAN	AIMP2 JTV1 PRO0992
9606.ENSP00000223114	Q86VF5	MOGT3_HUMAN	MOGAT3 DC7 DGAT2L7 UNQ9383/PRO34208
9606.ENSP00000223127	O60568	PLOD3_HUMAN	PLOD3
9606.ENSP00000223129	P35244	RFA3_HUMAN	RPA3 REPA3 RPA14
9606.ENSP00000223136	Q9Y3D6	FIS1_HUMAN	FIS1 TTC11 CGI-135
9606.ENSP00000223321	P25787	PSA2_HUMAN	PSMA2 HC3 PSC3
9606.ENSP00000223357	Q8IUX7	AEBP1_HUMAN	AEBP1 ACLP
9606.ENSP00000223369	O15498	YKT6_HUMAN	YKT6
9606.ENSP00000223641	P60468	SC61B_HUMAN	SEC61B
9606.ENSP00000223642	P01031	CO5_HUMAN	C5 CPAMD4
9606.ENSP00000223864	Q9HBL7	PLRKT_HUMAN	PLGRKT C9orf46 AD025 MDS030
9606.ENSP00000224337	Q8WV28	BLNK_HUMAN	BLNK BASH SLP65
9606.ENSP00000224356	O43174	CP26A_HUMAN	CYP26A1 CYP26 P450RAI1
9606.ENSP00000224652	O95260	ATE1_HUMAN	ATE1
9606.ENSP00000225276	Q9UJ37	SIA7B_HUMAN	ST6GALNAC2 SIAT7B SIATL1 STHM
9606.ENSP00000225296	Q9H6R0	DHX33_HUMAN	DHX33 DDX33
9606.ENSP00000225430	P84098	RL19_HUMAN	RPL19
9606.ENSP00000225474	P09919	CSF3_HUMAN	CSF3 C17orf33 GCSF
9606.ENSP00000225512	P56703	WNT3_HUMAN	WNT3 INT4
9606.ENSP00000225538	P51575	P2RX1_HUMAN	P2RX1 P2X1
9606.ENSP00000225567	O14653	GOSR2_HUMAN	GOSR2 GS27
9606.ENSP00000225609	Q9Y2B2	PIGL_HUMAN	PIGL
9606.ENSP00000225665	Q02978	M2OM_HUMAN	SLC25A11 SLC20A4
9606.ENSP00000225724	O95249	GOSR1_HUMAN	GOSR1 GS28
9606.ENSP00000225729	P55039	DRG2_HUMAN	DRG2
9606.ENSP00000225777	O43760	SNG2_HUMAN	SYNGR2 UNQ352/PRO615
9606.ENSP00000225792	P17844	DDX5_HUMAN	DDX5 G17P1 HELR HLR1
9606.ENSP00000225831	P13500	CCL2_HUMAN	CCL2 MCP1 SCYA2
9606.ENSP00000225927	P54802	ANAG_HUMAN	NAGLU UFHSD1
9606.ENSP00000225964	P02452	CO1A1_HUMAN	COL1A1
9606.ENSP00000226004	P51452	DUS3_HUMAN	DUSP3 VHR
9606.ENSP00000226091	Q15768	EFNB3_HUMAN	EFNB3 EPLG8 LERK8
9606.ENSP00000226253	P09972	ALDOC_HUMAN	ALDOC ALDC
9606.ENSP00000226279	P28907	CD38_HUMAN	CD38
9606.ENSP00000226413	P30968	GNRHR_HUMAN	GNRHR GRHR
9606.ENSP00000226524	P10720	PF4V_HUMAN	PF4V1 CXCL4V1 SCYB4V1
9606.ENSP00000226578	O00462	MANBA_HUMAN	MANBA MANB1
9606.ENSP00000226730	P60568	IL2_HUMAN	IL2
9606.ENSP00000226951	Q7Z7G1	CLNK_HUMAN	CLNK MIST
9606.ENSP00000227065	A5PLN7	F149A_HUMAN	FAM149A MST119
9606.ENSP00000227155	P27701	CD82_HUMAN	CD82 KAI1 SAR2 ST6 TSPAN27
9606.ENSP00000227163	P17947	SPI1_HUMAN	SPI1
9606.ENSP00000227266	P53634	CATC_HUMAN	CTSC CPPI
9606.ENSP00000227348	O95727	CRTAM_HUMAN	CRTAM
9606.ENSP00000227471	Q9H1C4	UN93B_HUMAN	UNC93B1 UNC93 UNC93B
9606.ENSP00000227507	P24385	CCND1_HUMAN	CCND1 BCL1 PRAD1
9606.ENSP00000227524	Q9UMS4	PRP19_HUMAN	PRPF19 NMP200 PRP19 SNEV
9606.ENSP00000227752	Q13651	I10R1_HUMAN	IL10RA IL10R
9606.ENSP00000227868	O00330	ODPX_HUMAN	PDHX PDX1
9606.ENSP00000228280	P21583	SCF_HUMAN	KITLG MGF SCF
9606.ENSP00000228318	Q00325	MPCP_HUMAN	SLC25A3 PHC OK/SW-cl.48
9606.ENSP00000228434	Q07108	CD69_HUMAN	CD69 CLEC2C
9606.ENSP00000228468	P78348	ASIC1_HUMAN	ASIC1 ACCN2 BNAC2
9606.ENSP00000228567	Q6XYQ8	SYT10_HUMAN	SYT10
9606.ENSP00000228705	Q9ULR3	PPM1H_HUMAN	PPM1H ARHCL1 KIAA1157 URCC2
9606.ENSP00000228740	P09960	LKHA4_HUMAN	LTA4H LTA4
9606.ENSP00000228825	O15145	ARPC3_HUMAN	ARPC3 ARC21
9606.ENSP00000228865	O60519	CRBL2_HUMAN	CREBL2
9606.ENSP00000228872	P46527	CDN1B_HUMAN	CDKN1B KIP1 p27
9606.ENSP00000228928	Q9Y6K5	OAS3_HUMAN	OAS3 P/OKcl.4
9606.ENSP00000229030	Q9ULW2	FZD10_HUMAN	FZD10
9606.ENSP00000229135	P01579	IFNG_HUMAN	IFNG
9606.ENSP00000229179	P57740	NU107_HUMAN	NUP107
9606.ENSP00000229214	Q13601	KRR1_HUMAN	KRR1 HRB2
9606.ENSP00000229239	P04406	G3P_HUMAN	GAPDH GAPD CDABP0047 OK/SW-cl.12
9606.ENSP00000229264	P16520	GBB3_HUMAN	GNB3
9606.ENSP00000229270	P60174	TPIS_HUMAN	TPI1 TPI
9606.ENSP00000229335	Q9GZX7	AICDA_HUMAN	AICDA AID
9606.ENSP00000229379	P12074	CX6A1_HUMAN	COX6A1 COX6AL
9606.ENSP00000229390	Q13242	SRSF9_HUMAN	SRSF9 SFRS9 SRP30C
9606.ENSP00000229402	Q12918	KLRB1_HUMAN	KLRB1 CLEC5B NKRP1A
9606.ENSP00000229416	P48506	GSH1_HUMAN	GCLC GLCL GLCLC
9606.ENSP00000229708	Q9BZM6	ULBP1_HUMAN	ULBP1 N2DL1 RAET1I
9606.ENSP00000229769	Q9HB96	FANCE_HUMAN	FANCE FACE
9606.ENSP00000229771	O00294	TULP1_HUMAN	TULP1 TUBL1
9606.ENSP00000229795	Q16539	MK14_HUMAN	MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
9606.ENSP00000229829	P06340	DOA_HUMAN	HLA-DOA HLA-DNA HLA-DZA
9606.ENSP00000230036	P80108	PHLD_HUMAN	GPLD1 PIGPLD1
9606.ENSP00000230048	Q9NPJ3	ACO13_HUMAN	ACOT13 THEM2 HT012 PNAS-27
9606.ENSP00000230321	Q99750	MDFI_HUMAN	MDFI
9606.ENSP00000230361	Q9UMX6	GUC1B_HUMAN	GUCA1B GCAP2
9606.ENSP00000230381	P23942	PRPH2_HUMAN	PRPH2 PRPH RDS TSPAN22
9606.ENSP00000230449	Q96KP1	EXOC2_HUMAN	EXOC2 SEC5 SEC5L1
9606.ENSP00000230538	Q16363	LAMA4_HUMAN	LAMA4
9606.ENSP00000230658	P61371	ISL1_HUMAN	ISL1
9606.ENSP00000231009	P49863	GRAK_HUMAN	GZMK TRYP2
9606.ENSP00000231021	Q9ULB4	CADH9_HUMAN	CDH9
9606.ENSP00000231188	O15303	GRM6_HUMAN	GRM6 GPRC1F MGLUR6
9606.ENSP00000231368	Q9UIQ6	LCAP_HUMAN	LNPEP OTASE
9606.ENSP00000231420	Q9BYV1	AGT2_HUMAN	AGXT2 AGT2
9606.ENSP00000231449	P05112	IL4_HUMAN	IL4
9606.ENSP00000231454	P05113	IL5_HUMAN	IL5
9606.ENSP00000231572	P54136	SYRC_HUMAN	RARS1 RARS
9606.ENSP00000231668	H0YBK7	H0YBK7_HUMAN	BNIP1
9606.ENSP00000232375	Q16877	F264_HUMAN	PFKFB4
9606.ENSP00000232461	P11488	GNAT1_HUMAN	GNAT1 GNATR
9606.ENSP00000232564	Q9HAV0	GBB4_HUMAN	GNB4
9606.ENSP00000232607	P11172	UMPS_HUMAN	UMPS OK/SW-cl.21
9606.ENSP00000233057	P19525	E2AK2_HUMAN	EIF2AK2 PKR PRKR
9606.ENSP00000233078	Q96EP5	DAZP1_HUMAN	DAZAP1
9606.ENSP00000233154	O43639	NCK2_HUMAN	NCK2 GRB4
9606.ENSP00000233242	P04114	APOB_HUMAN	APOB
9606.ENSP00000233575	Q15036	SNX17_HUMAN	SNX17 KIAA0064
9606.ENSP00000233616	Q13724	MOGS_HUMAN	MOGS GCS1
9606.ENSP00000233627	O75251	NDUS7_HUMAN	NDUFS7
9606.ENSP00000233712	Q9H8M9	EVA1A_HUMAN	EVA1A FAM176A TMEM166 SP24
9606.ENSP00000233893	P61604	CH10_HUMAN	HSPE1
9606.ENSP00000234313	P08567	PLEK_HUMAN	PLEK P47
9606.ENSP00000234389	O60391	NMD3B_HUMAN	GRIN3B
9606.ENSP00000234590	P06733	ENOA_HUMAN	ENO1 ENO1L1 MBPB1 MPB1
9606.ENSP00000235329	O95140	MFN2_HUMAN	MFN2 CPRP1 KIAA0214
9606.ENSP00000236147	P14151	LYAM1_HUMAN	SELL LNHR LYAM1
9606.ENSP00000236192	O75379	VAMP4_HUMAN	VAMP4
9606.ENSP00000236671	P07339	CATD_HUMAN	CTSD CPSD
9606.ENSP00000236850	P02647	APOA1_HUMAN	APOA1
9606.ENSP00000237283	Q7Z6V5	ADAT2_HUMAN	ADAT2 DEADC1
9606.ENSP00000237889	O43676	NDUB3_HUMAN	NDUFB3
9606.ENSP00000238112	Q9UKF6	CPSF3_HUMAN	CPSF3 CPSF73
9606.ENSP00000238146	Q8NHQ9	DDX55_HUMAN	DDX55 KIAA1595
9606.ENSP00000238256	Q5T1M5	FKB15_HUMAN	FKBP15 KIAA0674
9606.ENSP00000238855	Q6ULP2	AFTIN_HUMAN	AFTPH AFTH
9606.ENSP00000239440	Q8WWN8	ARAP3_HUMAN	ARAP3 CENTD3
9606.ENSP00000239461	P54821	PRRX1_HUMAN	PRRX1 PMX1
9606.ENSP00000239940	P35080	PROF2_HUMAN	PFN2
